FLEXMATCHES — PRODUCT BACKLOG (JIRA-Style),,,,,,,,,,,,,,,
Key,Type,Epic,Summary,User Story,MoSCoW,Priority,Points,Sprint,Assignee,Status,Acceptance Criteria (Given/When/Then),QA Verification Tasks,QA DoD Checklist,UI/Design Requirements,Story-Specific DoD (beyond standard)
FM-301,Story,E03,Forgot Password Flow,"As a returning user who forgot my password, I want to reset it via email, so that I can regain access to my account.",Must Have,P0,5,Eagle 0,Mid Dev,To Do,"AC1: Given I am on the login screen, When I look below the password field, Then I see a 'Forgot password?' link

AC2: Given I tap 'Forgot password?' and enter my email, When I tap 'Send Reset Link', Then supabase.auth.resetPasswordForEmail() is called and I see 'Check your email for a reset link'

AC3: Given I enter an invalid or unknown email, When I tap send, Then I see a safe error message (no account enumeration)

AC4: Given I tap the reset link in my email, When the app opens, Then I land on a password reset screen where I can set a new password","• Verify forgot password link is visible and tappable on login screen
• Verify reset email is sent for valid accounts
• Verify error handling for invalid/unknown emails
• Verify deep link from email opens password reset screen
• Verify new password works for subsequent login","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Forgot Password screen layout (email input + send button)
• Success state ('Check your email')
• Error state (invalid/unknown email)
• 'Forgot password?' link placement on login screen

Designer delivers: Forgot password screen mockup + link placement","? Forgot password link visible on login screen
? Reset email sends for valid accounts
? Error message is safe (no account enumeration)
? Success state is clear and actionable
? Deep link from email opens reset screen"
FM-302,Story,E03,Fix Onboarding Race Condition,"As a new user, I want to always land on onboarding after registration, so that my profile gets set up before I enter the app.",Must Have,P0,5,Eagle 0,Senior Dev,To Do,"AC1: Given I just completed registration, When the auth state changes, Then routing is handled centrally in _layout.tsx using a needsOnboarding flag

AC2: Given needsOnboarding is true, When the auth listener fires, Then I am routed to onboarding (not home), regardless of timing

AC3: Given I complete onboarding and tap 'Let's go', When the profile save succeeds, Then needsOnboarding is set to false and I navigate to home

AC4: Given the profile save fails during onboarding, When the error occurs, Then an Alert shows, I stay on the current step, and my entered data is preserved in state","• Verify new signup always lands on onboarding (test 10 times for race condition)
• Verify existing user login bypasses onboarding
• Verify network failure during onboarding save shows error and preserves data
• Verify profile data actually persists in Supabase after successful onboarding","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
• This is a routing/logic fix — no visual changes
• Onboarding save failure shows standard Alert

Designer review: Not needed","? New signup ALWAYS lands on onboarding (test 10x)
? Existing user bypasses onboarding
? Network failure during save shows Alert + preserves data
? Profile data persists in Supabase after success
? No race condition between auth listener and register"
FM-303,Story,E03,Onboarding Skip Guardrails,"As a new user, I want the app to require at least my name, so that I have a functional profile that others can see.",Should Have,P1,3,Eagle 1,Mid Dev,To Do,"AC1: Given I am on onboarding step 1 (Name), When I look for the Skip button, Then it is not visible or is disabled

AC2: Given I am on step 1, When I try to proceed without entering a name, Then the Continue button is disabled and I see a hint 'Name is required'

AC3: Given I am on steps 2-5, When I tap Skip, Then partial progress (data entered so far) is saved before advancing","• Verify Skip is hidden/disabled on step 1
• Verify name field requires 2-50 characters (trimmed)
• Verify skipping later steps saves partial progress","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
• 'Name is required' hint text placement

Designer review: Not needed","? Skip hidden on step 1
? Name requires 2-50 chars
? Skipping later steps saves partial progress"
FM-304,Story,E03,Password Confirmation & Strength Validation,"As a new user, I want a confirm password field and strength indicator, so that I create a secure, correct password.",Should Have,P1,3,Eagle 1,Mid Dev,To Do,"AC1: Given I am on the register screen, When I look at the form, Then there is a 'Confirm Password' field below the password field

AC2: Given I type a password, When it does not meet requirements (8+ chars, 1 uppercase, 1 number), Then a strength indicator shows 'Weak' in red

AC3: Given my passwords match and meet strength requirements, When I look at the Create Account button, Then it is enabled

AC4: Given both login and register screens, When I look at the password field, Then there is an eye icon toggle to show/hide the password","• Verify confirm password must match before submission
• Verify weak passwords are rejected (test: 'aaaaaa', '123456', 'password')
• Verify strength indicator updates in real-time
• Verify eye toggle works on both login and register","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Password strength indicator (weak/medium/strong)
• Confirm password field placement
• Eye toggle icon

Designer delivers: Strength indicator mockup","? Confirm password must match
? Weak passwords rejected
? Strength indicator updates in real-time
? Eye toggle works on login + register"
FM-305,Story,E03,Email Validation & Navigation Stack Fix,"As a user, I want email format validated before submission and smooth navigation between login and register, so that I don't waste time on invalid inputs or get confused by stacked screens.",Should Have,P1,2,Eagle 1,Mid Dev,To Do,"AC1: Given I enter an invalid email format (e.g., 'asdfgh'), When I tap submit or blur the field, Then I see an inline error 'Please enter a valid email address'

AC2: Given I toggle between Login and Register, When I navigate, Then router.replace() is used (no screen stacking — back button goes to Welcome, not previous auth screen)","• Verify invalid emails are rejected client-side before API call
• Verify navigating login?register 5 times doesn't stack 5 screens
• Verify back button from login/register goes to Welcome","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Logic/validation only","? Invalid emails rejected client-side
? No screen stacking on login?register
? Back goes to Welcome"
E04,Epic,—,Streak & Trust Mechanics,Epic: Streak & Trust Mechanics,,,,,,,,,,,
FM-401,Story,E04,Streak Consecutive Day Enforcement,"As a user, I want my streak to accurately reflect consecutive workout days, so that I can trust the number I see on my profile.",Must Have,P0,5,Eagle 0,Senior Dev,To Do,"AC1: Given I logged a workout yesterday (local time), When I log a workout today, Then my streak increments by 1

AC2: Given I logged a workout 2+ days ago, When I log a workout today, Then my streak resets to 1

AC3: Given I already logged a workout today, When I try to log again, Then my streak does NOT increment (stays the same)

AC4: Given any streak update, When the operation executes, Then it uses a Supabase RPC function (atomic, not read-modify-write) and all date comparisons use local calendar dates (not UTC)","• Verify consecutive day logging increments streak correctly (test 3 consecutive days)
• Verify 2-day gap resets streak to 1
• Verify same-day duplicate does not inflate streak
• Verify late-night workout (11pm) counts for correct local day, not UTC next day","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
• Streak logic is backend-only (RPC function)
• No visual changes to existing streak display

Designer review: Not needed","? Consecutive day increments correctly
? 2+ day gap resets to 1
? Same-day duplicate does NOT inflate
? Uses Supabase RPC (atomic, not read-modify-write)
? Late-night workout counts for correct local day"
FM-402,Story,E04,Quick Check-in Spam Prevention,"As a user, I want check-in to only count once per day, so that streaks cannot be gamed and partner notifications stay credible.",Must Have,P0,3,Eagle 0,Mid Dev,To Do,"AC1: Given I have already checked in today, When I look at the Quick Check-in button, Then it shows 'Checked in ?' and is disabled

AC2: Given the check-in is enforced server-side, When any client tries to increment twice, Then the RPC function rejects the duplicate

AC3: Given I check in, When partner notifications fire, Then each partner receives max 1 notification per day from me","• Verify tapping check-in 10 times only increments streak by 1
• Verify button state changes to disabled after first check-in
• Verify server-side enforcement (test via direct API call)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
• Check-in button disabled state ('Checked in ?')
• Use existing disabled button pattern

Designer review: Quick review of disabled state","? 10 taps only increments streak by 1
? Button shows 'Checked in ?' and is disabled
? Server-side enforcement works (direct API test)
? Partner notifications limited to 1/day"
E05,Epic,—,Notification Completeness,Epic: Notification Completeness,,,,,,,,,,,
FM-501,Story,E05,Push Notification Tap Deep Linking,"As a user, I want tapping a push notification to navigate me to the relevant screen, so that I can immediately see what happened.",Must Have,P0,5,Eagle 2,Senior Dev,To Do,"AC1: Given I receive a push notification while the app is backgrounded, When I tap the notification, Then the app opens and navigates to the correct screen (match_request?Matches, new_message?Chat, session?Chat)

AC2: Given I tap a notification after the app was killed (cold start), When the app initializes, Then the deep link still routes correctly after auth check

AC3: Given each notification, When it is created, Then the payload includes a 'type' field and relevant 'relatedId' for routing","• Verify deep link works from background state for each notification type
• Verify deep link works from killed/cold start state
• Verify unknown notification types open app to Home (graceful fallback)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Navigation logic only","? Deep link works from background
? Deep link works from cold start
? Unknown types fallback to Home"
FM-502,Story,E05,Swipe-Mode Like Sends Push Notification,"As a user, I want to be notified when someone likes me in swipe mode, so that I know someone is interested in training with me.",Must Have,P0,2,Eagle 2,Mid Dev,To Do,"AC1: Given User A swipes right on User B in swipe mode, When the match insert succeeds, Then notifyUser() is called for User B with type='match_request'

AC2: Given the notification is sent, When User B receives it, Then it says '[Name] wants to connect with you!'","• Verify swipe-right triggers push notification to receiver
• Verify notification content includes sender's name
• Verify duplicate swipes don't send multiple notifications","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend notification wiring","? Swipe-right triggers push
? Notification includes sender name
? No duplicate notifications"
FM-503,Story,E05,Session Proposal & Response Notifications,"As a user, I want session proposals and responses to notify both sides, so that the session coordination loop is complete.",Must Have,P0,4,Eagle 2,Mid Dev,To Do,"AC1: Given I propose a session, When the insert succeeds, Then my partner receives a push with type='session_proposed' saying '[Name] proposed a workout: [Sport] on [Date]'

AC2: Given my partner accepts my session, When the update succeeds, Then I receive a push with type='session_accepted' saying '[Name] accepted your session!'

AC3: Given my partner declines, When the update succeeds, Then I receive a push with type='session_declined' saying '[Name] can't make the session'","• Verify session proposal triggers push to partner
• Verify session accept triggers push to proposer
• Verify session decline triggers push to proposer
• Verify all notifications include correct names and session details","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend notification wiring","? Proposal notifies partner
? Accept notifies proposer
? Decline notifies proposer"
FM-504,Story,E05,Realtime Subscription User Filter (Security),"As a user, I want to only receive realtime events for my own messages, so that other users' message content is never visible to me.",Must Have,P0,4,Eagle 2,Senior Dev,To Do,"AC1: Given I am in a chat screen, When the realtime subscription is created, Then it includes a filter: match_id=eq.${currentMatchId}

AC2: Given User A sends a message to User B, When User C is also connected to realtime, Then User C's client never receives User A's message payload","• Verify subscription filter is set correctly in code review
• Verify with 2 test accounts that messages don't leak between conversations
• Verify realtime still works correctly for the intended conversation","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Security fix only","? Subscription filter set correctly
? Messages don't leak between users
? Realtime still works for intended conversation"
FM-505,Story,E05,Push Token Cleanup on Logout,"As a user, I want my push tokens removed when I sign out, so that the next person on this device doesn't receive my notifications.",Must Have,P0,2,Eagle 2,Senior Dev,To Do,"AC1: Given I am signed in and have a push token stored, When I tap Sign Out in Settings, Then unregisterPushToken() is called BEFORE signOut()

AC2: Given I sign out and another user signs in, When notifications are sent to my account, Then this device does NOT receive them","• Verify push token is removed from DB on logout
• Verify token removal happens before auth signout
• Verify new user on same device only gets their own notifications","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend cleanup logic","? Token removed from DB on logout
? Removal happens before signout
? New user doesn't get old user's notifications"
E06,Epic,—,Trust System Unification,Epic: Trust System Unification,,,,,,,,,,,
FM-601,Story,E06,Unified Tier System (Single Source of Truth),"As a user, I want my tier label to be consistent on every screen, so that I can trust the gamification system.",Must Have,P0,5,Eagle 3,Senior Dev,To Do,"AC1: Given my profile shows 'Gold' tier, When I open the Leaderboard, Then it also shows 'Gold' tier (same calculation)

AC2: Given the tier system, When any screen calculates tier, Then it uses the single calcTier() function from lib/badges.ts

AC3: Given the leaderboard, When it was using streak-based tiers (0/50/100/200/500), Then that is removed and replaced with the points-based system","• Verify same user shows identical tier on Profile, Leaderboard, and any other surface
• Verify all tier calculation references point to lib/badges.ts
• Verify old streak-based tier code is fully removed from leaderboard","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
Verify tier badges look consistent

Designer review: Visual consistency check","? Same tier on Profile and Leaderboard
? All calculations use lib/badges.ts
? Old streak-based tier code removed"
FM-602,Story,E06,Mutual Session Confirmation,"As a user, I want completed-session stats to update fairly, so that one person confirming doesn't credit both without consent.",Should Have,P1,5,Eagle 3,Senior Dev,To Do,"AC1: Given User A confirms a session, When the confirmation saves, Then only User A's confirmed_by flag is set (not both users' stats)

AC2: Given both User A and User B have confirmed, When the system checks, Then sessions_completed increments for both users

AC3: Given User A reports no-show, When the report saves, Then only User B's sessions_no_show increments (not User A's)

AC4: Given any stat update, When it executes, Then it uses an atomic Supabase RPC (not read-modify-write)","• Verify one-sided confirmation only updates confirming user's flag
• Verify stats only increment when both users have confirmed
• Verify no-show does not penalize the reporter
• Verify concurrent confirmations don't lose data (race condition test)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend logic only","? One-sided confirm only sets confirming user's flag
? Stats increment when BOTH confirm
? No-show doesn't penalize reporter"
FM-603,Story,E06,"Date Pickers Replace Raw Text (Sessions, Goals, Challenges)","As a user, I want proper date pickers when entering dates, so that I never see 'NaN days left' from invalid input.",Should Have,P1,3,Eagle 3,Mid Dev,To Do,"AC1: Given I am proposing a session, When I need to enter a date, Then a native DatePicker component appears (not a TextInput)

AC2: Given I am creating a goal with a deadline, When I enter the date, Then a DatePicker is shown and past dates are rejected

AC3: Given I am creating a challenge with an end date, When I enter the date, Then a DatePicker is shown and past dates are rejected","• Verify DatePicker appears on session propose, goal create, challenge create
• Verify past dates are visually disabled and cannot be selected
• Verify selected date is stored in correct YYYY-MM-DD format
• Verify 'NaN days left' no longer appears anywhere in the app","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• DatePicker integration style for sessions, goals, challenges

Designer delivers: DatePicker style guidance","? DatePicker on all 3 locations
? Past dates disabled
? Correct format stored
? No 'NaN' anywhere"
E07,Epic,—,Security & App Store Compliance,Epic: Security & App Store Compliance,,,,,,,,,,,
